Vitel Mobile Inc,,,,,,,,,,,,,,,,
Inventory Valuation Summary,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
,Part #,Description,,,Asset Account,,,,,Qty,, ,,Unit Cost,Asset Value,
,HY E551LTSLDS,HYUNDAI E551 LITE SILVER DS,,,Default,,,,,16,,ea,,$ 52.48,$ 839.67,
,HY E555BKD,HYUNDAI E555 BLACK DS,,,Default,,,,,20,,ea,,$ 35.82,$ 716.47,
,HY E601FBKDS,HYUNDAI E601F BLACK DS,,,Default,,,,,1,,ea,,$ 70.00,$ 70.00,
,HY E601FGDDS,HYUNDAI E601F GOLD DS,,,Default,,,,,4,,ea,,$ 70.00,$ 280.00,
,HY L445BKS,HYUNDAI L445 LTE BLACK SS,,,Default,,,,,6,,ea,,$ 0.00,$ 0.00,
,HY L445WHS,HYUNDAI L445 LTE WHITE SS,,,Default,,,,,3,,ea,,$ 55.72,$ 167.16,
,HY L465BKDS,HYUNDAI L465 BLACK DS,,,Default,,,,,2,,ea,,$ 39.50,$ 79.00,
,HY L465BLDS,HYUNDAI L465 BLUE DS,,,Default,,,,,1,,ea,,$ 39.50,$ 39.50,
,HY L465GDDS,HYUNDAI L465 GOLD DS,,,Default,,,,,1,,ea,,$ 39.50,$ 39.50,
,HY L465WHDS,HYUNDAI L465 WHITE DS,,,Default,,,,,3,,ea,,$ 39.50,$ 118.50,
,HY L500BKDS,HYUNDAI L500 BLACK,,,Default,,,,,19,,ea,,$ 57.00,"$ 1,083.00",
,HY L500CBKDS,HYUNDAI L500C BLACK DS,,,Default,,,,,1,,ea,,$ 57.03,$ 57.03,
,HY L500CGDDS,HYUNDAI L500C GOLD DS,,,Default,,,,,2,,ea,,$ 57.08,$ 114.17,
,HY L500CWHDS,HYUNDAI L500C WHITE DS,,,Default,,,,,1,,ea,,$ 57.03,$ 57.03,
,HY L500GDDS,HYUNDAI L500 GOLD DS,,,Default,,,,,5,,ea,,$ 57.00,$ 285.00,
,HY L500UBKS,HYUNDAI L500U BLACK,,,Default,,,,,330,,ea,,$ 57.33,"$ 18,919.42",
,HY L500WHDS,HYUNDAI L500 WHITE DS,,,Default,,,,,22,,ea,,$ 57.00,"$ 1,254.00",
,HY L501BKDS,HYUNDAI L501 BLACK DS,,,Default,,,,,4,,ea,,$ 47.00,$ 188.00,
,HY L501GDDS,HYUNDAI L501 GOLD DS,,,Default,,,,,6,,ea,,$ 47.00,$ 282.00,
,HY L501RGDS,HYUNDAI L501 ROSE GOLD DS,,,Default,,,,,6,,ea,,$ 47.00,$ 282.00,
,HY L502GDDS,HYUNDAI L502 GOLD DS,,,Default,,,,,64,,ea,,$ 57.00,"$ 3,648.00",
,HY L503FBKDS,HYUNDAI L503F BLACK DS,,,Default,,,,,8,,ea,,$ 57.00,$ 456.00,
,HY L503FGDDS,HYUNDAI L503F GOLD DS,,,Default,,,,,6,,ea,,$ 57.00,$ 342.00,
,HY L503FPLBKDS,HYUNDAI L503F PLUS BLACK DS,,,Default,,,,,9,,ea,,$ 60.92,$ 548.25,
,HY L505BKD,HYUNDAI UNO L505 BLACK DS,,,Default,,,,,143,,ea,,$ 62.00,"$ 8,866.06",
,HY L505BKDSS,HYUNDAI UNO L505 BLACK SEEDSTOCK,,,Default,,,,,1,,ea,,$ 0.00,$ 0.00,
,HY L505BLD,HYUNDAI UNO L505 BLUE DS,,,Default,,,,,30,,ea,,$ 0.00,$ 0.00,
,HY L505GDD,HYUNDAI UNO L505 GOLD DS,,,Default,,,,,37,,ea,,$ 62.00,"$ 2,294.00",
,HY L505WHD,HYUNDAI UNO L505 WHITE DS,,,Default,,,,,67,,ea,,$ 62.19,"$ 4,166.73",
,HY L565BKSLD,HYUNDAI UNO BLACK/SILVER DS,,,Default,,,,,20,,ea,,$ 147.92,"$ 2,958.40",
,HY L565WHRSGDD,HYUNDAI UNO WHITE/ROSE/GOLD DS,,,Default,,,,,14,,ea,,$ 148.36,"$ 2,076.98",
,HY L575BKD,HYUNDAI PRIVE BLACK DS,,,Default,,,,,7,,ea,,$ 255.46,"$ 1,788.24",
,HY L575WHD,HYUNDAI PRIVE WHITE DS,,,Default,,,,,8,,ea,,$ 252.82,"$ 2,022.52",
,HY L585SLD,HYUNDAI L585 DS SILVER,,,Default,,,,,1,,ea,,$ 165.00,$ 165.00,
,HY L601FBKDS,HYUNDAI L601F BLACK DS,,,Default,,,,,2,,ea,,$ 67.01,$ 134.02,
,HY L604GD,HYUNDAI L604 GOLD,,,Default,,,,,1,,ea,,$ 58.50,$ 58.50,
,HY L604GR,HYUNDAI L604 GRAY,,,Default,,,,,1,,ea,,$ 58.50,$ 58.50,
,HY M1ERBBK,HYUNDAI EARBUDS M1 BLACK,,,Default,,,,,13,,ea,,$ 7.80,$ 101.40,
,HY M1ERBWH,HYUNDAI EARBUDS M1 WHITE,,,Default,,,,,10,,ea,,$ 7.30,$ 73.05,
,HY ORBTGDDS,HYUNDAI ORBIT GOLD DS,,,Default,,,,,7,,ea,,$ 101.30,$ 709.10,
,HY ORBTGRDS,HYUNDAI ORBIT GRAY DS,,,Default,,,,,7,,ea,,$ 101.50,$ 710.50,
,HY P200 PW GD,HYUNDAI P200 PULSE LITE WATCH GOLD,,,Default,,,,,18,,ea,,$ 24.50,$ 441.00,
,HY P200 PW GD SS,HYUNDAI P200 PULSE LITE WATCH GOLD SEEDSTOCK,,,Default,,,,,1,,ea,,$ 0.00,$ 0.00,
,HY P200 PW SLV,HYUNDAI P200 PULSE LITE WATCH SILVER,,,Default,,,,,18,,ea,,$ 24.50,$ 441.00,
,HY P220 PW GD,HYUNDAI P220 PULSE WATCH GOLD,,,Default,,,,,3,,ea,,$ 43.98,$ 131.94,
,HY P220 PW GD SS,HYUNDAI P220 PULSE WATCH GOLD SEEDSTOCK,,,Default,,,,,14,,ea,,$ 0.00,$ 0.00,
,HY P220 PW SL SS,HYUNDAI P220 PULSE WATCH SILVER SEEDSTOCK,,,Default,,,,,1,,ea,,$ 0.00,$ 0.00,
,HY P220 PW SLV,HYUNDAI P220 PULSE WATCH SILVER,,,Default,,,,,6,,ea,,$ 44.00,$ 264.00,
,HY P230 PW2 BK,HYUNDAI P230 PULSE 2 WATCH BLACK,,,Default,,,,,3,,ea,,$ 59.00,$ 177.00,
,HY P230 PW2 SL,HYUNDAI P230 PULSE 2 WATCH SILVER,,,Default,,,,,2,,ea,,$ 59.00,$ 118.00,
,HY P240BK,HYUNDAI P240 SMARTWATCH BLACK,,,Default,,,,,5,,ea,,$ 10.51,$ 52.54,
,HY P240PK,HYUNDAI P240 SMARTWATCH PINK,,,Default,,,,,1,,ea,,$ 10.50,$ 10.50,
,HY P250BK,HYUNDAI P250 SMARTWATCH BLACK,,,Default,,,,,1,,ea,,$ 21.52,$ 21.52,
,HY P250BL,HYUNDAI P250 SMARTWATCH BLUE,,,Default,,,,,3,,ea,,$ 21.58,$ 64.75,
,HY P250GD,HYUNDAI P250 SMARTWATCH GOLD,,,Default,,,,,1,,ea,,$ 21.61,$ 21.61,
,HY P260GD,HYUNDAI P260 SMARTWATCH GOLD,,,Default,,,,,1,,ea,,$ 26.50,$ 26.50,
,HY P270SL/WH,HYUNDAI P270 SMART WATCH SILVER/WHITE,,,Default,,,,,5,,ea,,$ 14.10,$ 70.50,
,HY TITAN5KGDD,HYUNDAI 5K TITAN GOLD DS,,,Default,,,,,1,,ea,,$ 76.37,$ 76.37,
